Var1,Var2
104.717090431505,151.144559463871
105.301501843037,151.133099213416
105.891466262543,151.110178848062
106.486865765543,151.075798632037
107.087582730266,151.029958944469
107.693499990494,150.972660258741
108.304500990322,150.903903114964
108.920469940397,150.823688085583
109.541291975231,150.732015734114
110.166853311187,150.628886567021
110.797041404746,150.514300978738
111.431745110704,150.388259189827
112.070854839941,150.25076117828
112.714262716452,150.101806603946
113.361862733339,149.941394726071
114.013550907496,149.769524313932
114.669225432767,149.586193550516
115.328786831341,149.391399929211
115.992138103244,149.185140143434
116.659184873774,148.967409969131
117.329835538785,148.738204140035
118.004001407765,148.497516215565
118.681596844675,148.245338441224
119.362539406585,147.981661601312
120.046749980158,147.706474863756
120.734152916097,147.419765616791
121.424676161704,147.121519297237
122.118251391746,146.811719210016
122.814814137887,146.490346338547
123.514303916963,146.157379145568
124.216664358461,145.812793363914
124.9218433316,145.456561776661
125.629793072461,145.088653986017
126.340470311684,144.70903617024
127.053836403307,144.317670827758
127.769857455375,143.914516507593
128.488504463035,143.499527525064
129.209753444883,143.072653661601
129.933585583428,142.633839847411
130.659987370609,142.183025825525
131.388950759399,141.720145795627
132.120473322627,141.245128035846
132.854558420272,140.757894500488
133.591215376586,140.258360391436
134.330459668567,139.74643370067
135.072313127434,139.222014721053
135.816804154945,138.684995522174
136.563967956593,138.135259387642
137.31384679393,137.572680209772
138.066490258535,136.997121837086
138.066490258535,136.997121837086
138.156781296734,136.974694772193
138.243763155619,136.963405939788
138.327464429831,136.963235098582
138.407917186716,136.974157108147
138.485156971623,136.996141940063
138.559222809459,137.029154698519
138.630157202603,137.073155650175
138.698006125266,137.128100263082
138.762819014487,137.193939254365
138.8246487579,137.270618646361
138.883551678472,137.35807983085
138.939587516436,137.456259640968
138.992819408638,137.565090430374
139.04331386555,137.684500159186
139.09114074622,137.814412486206
139.136373231436,137.954746866875
139.179087795387,138.105418656439
139.219364176143,138.266339217737
139.257285345236,138.437416033039
139.292937476682,138.618552819343
139.326409915747,138.809649646521
139.357795147785,139.010603057734
139.387188767465,139.221306191492
139.414689448713,139.441648904785
139.440398915673,139.671517896686
139.464421915014,139.910796831845
139.48686618987,140.159366463331
139.507842455719,140.417104754248
139.527464378492,140.683886997616
139.545848555181,140.959585933995
139.563114497211,141.244071866375
139.579384616841,141.537212771853
139.594784216823,141.838874409669
139.60944148356,142.148920425175
139.62348748396,142.467212449347
139.637056166207,142.793610193478
139.650284364614,143.127971538705
139.66331180875,143.470152620049
139.676281136974,143.820007904694
139.689337914539,144.177390264209
139.702630656378,144.542151040497
139.716310854685,144.914140105224
139.730533011397,145.293205912537
139.745454675637,145.679195544891
139.761236486202,146.07195475181
139.778042219139,146.471327981448
139.796038840441,146.877158404809
139.815396563874,147.289287932521
139.836288913958,147.707557224044
139.836288913958,147.707557224044
139.328177738961,148.387153290993
138.821308907739,149.058114628712
138.315578651882,149.720579372364
137.810886988371,150.374678152614
137.307137552832,151.020534479161
136.80423744786,151.658265096679
136.302097105227,152.287980315595
135.800630160949,152.909784319851
135.299753342243,153.523775453623
134.799386365545,154.130046488781
134.29945184479,154.728684874666
133.79987520929,155.319772971685
133.300584630539,155.903388270016
132.801510957405,156.479603594648
132.302587659162,157.048487297862
131.803750775881,157.610103440152
131.304938875757,158.164511960521
130.806093018952,158.711768836986
130.307156727582,159.251926238085
129.808075961514,159.785032666092
129.308799099635,160.311133092602
128.809276926307,160.830269087097
128.309462622717,161.342478939064
127.809311762859,161.847797774164
127.308782313897,162.346257664968
126.807834640664,162.837887736681
126.306431514071,163.322714268285
125.8045381232,163.800760789489
125.302122090857,164.272048173853
124.799153492388,164.736594728407
124.295604877532,165.194416280104
123.791451295107,165.645526259385
123.286670320337,166.089935781141
122.781242084586,166.527653723328
122.275149307318,166.958686803481
121.768377330044,167.383039653342
121.260914152072,167.800714891832
120.752750467815,168.211713196552
120.243879705449,168.616033374001
119.73429806669,169.013672428694
119.224004567455,169.404625631324
118.713001079168,169.788886586135
118.201292370465,170.16644729764
117.688886149048,170.537298236804
117.17579310342,170.90142840683
116.662026944247,171.258825408629
116.147604445067,171.609475506104
115.632545482062,171.953363691306
115.116873072621,172.290473749571
114.600613412389,172.620788324674
114.083795910513,172.944288984096
113.566453222784,173.260956284419
113.048621282364,173.570769836922
112.530339327797,173.873708373382
112.011649927989,174.169749812119
111.492599003853,174.458871324292
110.973235846299,174.741049400446
110.453613130266,175.016259917304
109.933786924501,175.284478204796
109.413816696758,175.545679113281
108.893765314159,175.799837080948
108.373699038399,176.046926201334
107.853687515543,176.286920290921
107.333803760145,176.519792956732
106.81412413343,176.74551766387
106.294728315331,176.964067802915
105.775699270143,177.175416757086
105.257123205609,177.379537969084
104.739089525273,177.576405007494
104.221690773944,177.76599163266
103.705022576151,177.948271861895
103.189183567502,178.123220033911
102.674275318872,178.290810872346
102.160402253406,178.451019548245
101.647671556311,178.603821741363
101.136193077508,178.749193700152
100.626079227173,178.887112300278
100.11744486431,179.01755510154
99.6104071784729,179.140500403023
99.1050855648282,179.255927296364
98.6016014927754,179.363815716959
98.1000783683731,179.464146492987
97.6006413908659,179.5569013921
97.1034174036379,179.64206316565
96.6085347399517,179.719615590301
96.1161230638697,179.789543506919
95.6263132067819,179.851832856607
95.1392369999975,179.906470713769
94.6550271038815,179.953445316099
94.1738168340474,179.992746091394
93.6957399851345,180.024363681101
93.2209306527211,180.048289960521
92.7495230539385,180.064518055595
92.2816513473663,180.073042356218
91.8174494527969,180.073858526034
91.3570508714626,180.066963508665
90.900588507323,180.052355530372
