Var1,Var2
124.17260899441,122.046813116619
124.023181912099,122.178815051496
123.881041753153,122.328794234562
123.745917641041,122.496243561559
123.617535688738,122.680645412281
123.495619590196,122.881473156159
123.379891201804,123.098192623964
123.27007110983,123.330263536014
123.165879180314,123.57714087844
123.067035088376,123.838276220282
122.973258824406,124.11311896539
122.884271175108,124.401117534315
122.79979417782,124.701720472516
122.719551547004,125.014377482289
122.6432690722,125.338540376882
122.570674987133,125.673663956137
122.501500310014,126.01920680391
122.435479155371,126.374632008215
122.372349018021,126.739407805726
122.311851030031,127.11300815282
122.253730191692,127.494913225801
122.197735577704,127.88460985334
122.143620519872,128.281591884454
122.091142767717,128.685360495566
122.040064628464,129.095424440331
121.990153087904,129.511300246034
121.941179913624,129.932512360359
121.892921742136,130.358593252337
121.845160151346,130.789083471244
121.797681719834,131.223531667093
121.750278074307,131.661494576294
121.702745926572,132.102536975889
121.654887101271,132.546231609627
121.606508555574,132.992159088989
121.55742239193,133.439907772074
121.507445864912,133.889073623116
121.456401383075,134.339260055173
121.404116506711,134.790077758399
121.350423942266,135.241144516097
121.2951615341,135.692085010585
121.238172254226,136.142530620761
121.179304190535,136.592119213054
121.118410533977,137.040494927321
121.055349565078,137.4873079591
120.989984640087,137.932214339478
120.922184177012,138.374875713717
120.8518216417,138.814959119642
120.778775534074,139.252136766696
120.702929374583,139.686085816462
120.624171690832,140.11648816532
120.542396004348,140.543030229867
120.457500817348,140.965402735595
120.369389599341,141.383300509264
120.277970773344,141.796422275339
120.183157701449,142.204470456777
120.084868669446,142.60715098039
119.983026870125,143.004173086957
119.877560384917,143.395249146201
119.768402163407,143.780094476689
119.65549000031,144.158427170665
119.538766509404,144.5299679238
119.418179093914,144.894439869761
119.293679912829,145.251568419497
119.165225842583,145.60108110508
119.032778433547,145.942707427904
118.89630386072,146.276178711009
118.755772868055,146.601227955253
118.611160705785,146.91758969904
118.462447060159,147.224999881239
118.309615974963,147.523195706929
118.152655764229,147.811915515553
117.99155891552,148.090898651012
117.826321983202,148.359885333233
117.656945471131,148.618616530655
117.48343370418,148.866833833088
117.305794688084,149.10427932432
117.124039957072,149.330695453833
116.938184408815,149.545824906934
116.748246126229,149.749410472566
116.554246185715,149.941194908012
116.356208451458,150.120920799676
116.154159355443,150.288330419057
115.948127662901,150.443165572988
115.73814422291,150.585167447162
115.524241703966,150.714076441899
115.306454314354,150.829631999077
115.084817507192,150.931572419038
114.859367670092,151.019634666266
114.630141799393,151.093554162539
114.397177158986,151.153064566156
114.160510923767,151.197897535824
113.9201798078,151.227782477623
113.676219677289,151.242446273426
113.428665148476,151.241612989032
113.177549170602,151.225003560133
112.922902594043,151.192335454128
112.664753723767,151.143322305664
112.403127858174,151.077673523581
112.138046813405,150.995093866815
111.869528433113,150.89528298657
111.869528433113,150.89528298657
111.6429979005,150.808364863292
111.414058487822,150.709019062812
111.182752337249,150.597244558183
110.949118073184,150.473037134839
110.71319075031,150.336389311946
110.475001801886,150.187290254714
110.234578988168,150.025725677476
109.991946344824,149.85167773728
109.747124131141,149.665124917714
109.500128777834,149.466041902621
109.250972834211,149.25439943933
108.999664914413,149.03016419094
108.746209642433,148.79329857717
108.490607595575,148.543760603205
108.232855245954,148.28150367588
107.972944899645,148.006476406496
107.710864633004,147.718622399458
107.446598225661,147.417880025817
107.180125089639,147.104182180712
106.911420193984,146.777456023588
106.64045398426,146.437622699914
106.367192296179,146.084597043006
106.091596262582,145.718287254386
105.81362221291,145.338594560924
105.533221564211,144.945412846816
105.250340702669,144.538628258217
104.964920854492,144.118118778102
104.676897944921,143.683753768636
104.386202443981,143.235393478002
104.092759197429,142.772888508294
103.79648724123,142.296079240636
103.497299597662,141.804795213245
103.195103050958,141.298854447593
102.889797900155,140.778062717231
102.581277686516,140.242212753108
102.269428892591,139.691083378437
101.954130609592,139.124438565201
101.63525416934,138.542026403337
101.312662736534,137.943577972362
100.986210856509,137.328806103781
100.655743952975,136.697404020903
100.321097769434,136.049043840712
99.9820977470241,135.383374920121
99.6385583304542,134.700022026184
99.290282192375,133.998583306603
98.9370593649825,133.278628033006
98.5786662658018,132.539694084886
98.214864602378,131.781285136568
97.8454001379346,131.002867502963
97.8454001379346,131.002867502963
97.7318197608006,130.358460165229
97.6184909026213,129.724339790743
97.505608530642,129.100761271355
97.3933662740566,128.487984513061
97.2819564835501,127.886274295516
97.1715702720595,127.295900099421
97.0623975362342,126.717135899831
96.9546269580777,126.150259923453
96.8484459862691,125.595554368079
96.7440407966844,125.053305082405
96.6415962316855,124.523801204591
96.5412957178012,124.007334758128
96.4433211615008,123.504200203771
96.3478528228611,123.014693946558
96.2550691670371,122.539113797266
96.1651466935892,122.077758387987
96.0782597438705,121.630926541943
95.9945802868574,121.198916598077
95.9142776840022,120.782025691518
95.8375184338984,120.380548991505
95.7644658977826,119.994778898993
95.6952800071389,119.625004206755
95.6301169549265,119.271509225458
95.5691288722127,118.934572879843
95.5124634922574,118.61446777982
95.4602638043539,118.311459271934
95.4126676999845,118.025804477316
95.3698076140825,117.757751322809
95.3318101644127,117.507537572529
95.2987957922631,117.275389867594
95.2708784077998,117.061522782129
95.2481650435447,116.866137903977
95.2307555195024,116.689422948698
95.218742123479,116.531550915488
95.2122093100923,116.392679293583
95.2112334218749,116.272949327454
95.2158824357153,116.172485348736
95.2262157376623,116.091394182303
95.2422839288468,116.02976463323
95.2641286649457,115.987667060596
95.2917825312354,115.965153043131
95.325268954869,115.962255140729
95.3646021555536,115.978986754687
95.4097871353311,116.015342088411
95.4608197076766,116.071296209089
